E N alt mass diam kinE incid eject flight
496658 4250933 255 24.076 0.26 295.65 2 2 35
496675 4250645 214 9.805 0.19 8.06 7 8 8
496646 4250469 301 64.459 0.37 374.10 4 4 23
496732 4250659 232 0.181 0.05 0.24 5 6 11
496695 4250610 229 24.805 0.26 63.47 4 4 14
496956 4251330 141 13.932 0.22 52.43 31 37 14
496680 4250543 259 6.800 0.17 17.99 6 7 15
497039 4250765 319 0.631 0.08 1.98 9 14 18
496730 4250513 283 3.815 0.14 13.34 6 6 18
496556 4250969 246 43.364 0.33 112.46 15 15 14
496642 4250734 214 3.111 0.13 4.56 4 5 10
496734 4250709 235 781.605 0.84 1098.22 6 6 11
496697 4250475 297 19.636 0.25 16.80 36 26 8
497361 4250946 285 6.652 0.17 33.06 17 19 21
496777 4250650 257 1273.866 1.00 2056.12 9 8 12
495936 4249744 99 2.481 0.12 23.42 10 16 32
496965 4250909 257 549.404 0.74 1543.65 18 17 15
497160 4251852 -2 1209.852 0.97 15254.33 14 16 30
496298 4251772 3 243.332 0.57 2212.66 18 22 25
495959 4250201 59 269.483 0.60 1384.57 30 38 15
496539 4250599 256 206.594 0.54 469.88 9 8 14
496718 4250710 224 35.045 0.30 18.97 13 13 6
496991 4252348 -2 0.545 0.07 3.74 18 35 26
496661 4250677 214 12.908 0.22 2.33 13 15 3
497004 4250824 288 81.499 0.40 440.31 8 8 22
496970 4250619 369 255.612 0.58 1325.90 7 6 22
496951 4249953 143 513.774 0.72 4561.81 12 13 26
496590 4250638 234 985.119 0.91 3185.74 4 4 16
496783 4250671 262 8.274 0.19 13.96 8 8 12
497643 4251758 -1 792.612 0.84 8693.22 19 23 27
496620 4250628 226 1.229 0.10 1.34 9 9 9
496595 4250871 278 1.092 0.09 7.66 2 3 29
496638 4250641 214 67.980 0.37 42.50 13 14 6
496771 4250740 262 5.932 0.17 22.98 3 3 19
496842 4251015 233 14.443 0.22 36.83 20 20 14
496681 4250660 214 4.258 0.15 2.66 7 7 7
496738 4250849 284 17.324 0.24 70.99 5 5 19
496329 4250641 291 20.817 0.25 100.52 8 8 21
495742 4250840 36 17.632 0.24 117.31 19 25 21
496670 4250687 214 10.028 0.20 1.07 3 4 2
496538 4250589 261 17.429 0.23 40.03 9 9 14
496185 4249966 69 5.026 0.15 38.97 12 16 26
497233 4250522 306 58.919 0.36 441.99 9 10 26
496614 4250919 265 1.364 0.10 2.76 12 14 13
496420 4250566 307 85.923 0.41 478.09 6 6 22
496993 4250747 326 2.446 0.12 3.16 35 26 10
496631 4249852 108 16.579 0.24 135.48 12 15 26
496499 4250486 332 155.761 0.50 329.49 16 13 14
496697 4251455 39 25.925 0.27 334.14 6 8 34
496619 4250701 214 8.225 0.19 30.97 1 1 17
496717 4250841 282 6.678 0.17 24.85 5 5 18
496648 4250621 219 26.907 0.27 14.57 20 20 6
496745 4250588 261 13.422 0.22 97.26 2 2 26
496000 4250135 60 145.688 0.48 864.84 23 28 19
496689 4250820 266 5.363 0.16 3.41 28 21 7
495773 4250342 47 14.353 0.22 83.85 24 31 19
496435 4250405 298 4.798 0.15 16.06 13 13 17
496794 4251141 200 8.474 0.18 83.49 4 6 31
496670 4250737 223 12.367 0.21 3.63 24 23 4
497769 4250811 91 6.819 0.17 68.73 10 15 31
496500 4251085 202 14.081 0.21 102.91 7 7 25
496698 4250610 237 987.390 0.92 9523.84 1 1 28
496276 4250873 211 225.900 0.55 1911.91 6 7 27
496707 4250726 225 15.369 0.23 34.61 3 3 13
496034 4251180 31 63.095 0.36 606.46 10 13 27
497289 4248948 308 42.090 0.32 480.42 19 21 31
496745 4250665 237 1.473 0.11 5.19 2 3 18
496686 4251002 243 2.070 0.11 6.87 10 12 17
496692 4250696 214 98.989 0.42 419.04 0 0 18
496158 4250930 140 1.876 0.11 11.37 9 13 24
496738 4250651 234 10.332 0.20 5.40 21 18 6
496581 4250560 257 1.299 0.10 7.74 2 3 25
496670 4250690 214 3.794 0.15 0.23 2 4 1
496972 4250683 343 24.468 0.27 144.97 6 6 24
496485 4251620 7 46.476 0.34 729.38 6 8 38
496260 4250750 257 6.557 0.17 30.00 10 11 20
496535 4250480 312 181.288 0.52 178.65 36 25 9
496847 4252490 5 9.920 0.19 112.45 16 23 31
496536 4250829 265 2.670 0.13 9.76 5 6 18
496668 4250694 214 109.192 0.43 7.76 14 26 1
497682 4249931 193 186.078 0.53 1738.74 18 20 27
496434 4250709 288 0.235 0.06 0.38 1 8 24
496775 4250814 284 739.578 0.83 2089.14 7 7 16
496939 4250956 246 67.858 0.38 546.80 5 6 27
496873 4250643 311 41.108 0.32 128.89 8 7 17
496362 4250781 262 3.074 0.13 15.91 6 7 22
496672 4250690 214 56.342 0.36 3.43 8 20 1
496284 4250332 197 5.769 0.16 34.84 10 11 23
496159 4252063 0 2322.895 1.22 24277.15 22 25 26
496718 4250976 246 0.573 0.08 1.98 6 11 19
496628 4250722 214 14.354 0.22 30.79 3 3 13
496678 4250649 214 2.656 0.13 8.00 1 2 16
496254 4250794 237 27.155 0.27 196.78 7 7 25
496570 4250409 346 56.942 0.34 320.84 6 6 23
496609 4250691 214 3.568 0.14 2.66 11 12 7
496702 4250695 214 80.703 0.39 36.65 10 11 5
496560 4250914 261 2.927 0.13 7.43 11 12 15
495785 4250332 47 4.576 0.15 41.93 10 14 30
496857 4250701 297 68.575 0.38 423.61 3 3 23
496666 4250741 229 8.362 0.18 18.41 3 3 13
496656 4250866 279 21.623 0.25 59.78 8 7 16
496691 4250727 221 52.170 0.34 61.53 5 5 9
496467 4250622 276 2.700 0.13 30.51 1 2 37
496698 4250834 275 4.349 0.15 7.72 10 9 13
496751 4250681 244 36.039 0.30 92.20 4 4 14
496391 4250834 256 30.632 0.28 43.53 37 33 9
496810 4251202 174 28.945 0.28 155.00 13 14 20
496857 4250724 298 398.977 0.67 1148.15 8 7 16
496640 4250704 214 12.329 0.21 51.37 1 1 18
496549 4250925 257 0.473 0.07 2.31 3 7 24
496557 4250720 242 0.183 0.05 0.24 6 10 12
496615 4250764 237 15.847 0.23 15.12 13 12 9
496677 4250687 214 11.234 0.20 5.37 2 2 6
496847 4250692 291 53.088 0.35 75.10 16 13 11
496679 4250690 214 179.507 0.51 292.31 0 0 11
496507 4250607 268 22.083 0.26 215.48 2 2 30
496412 4250955 238 49.825 0.34 505.14 4 4 30
496513 4250680 258 9.579 0.19 6.40 36 28 7
496816 4250938 253 4.350 0.15 36.44 3 4 29
496625 4250617 231 1.212 0.10 6.85 1 2 23
496534 4250208 246 7.430 0.18 49.54 8 9 25
496746 4250768 259 3.067 0.13 10.06 3 4 17
496182 4250858 171 625.901 0.79 8165.11 5 5 33
496706 4250702 216 14.189 0.22 17.40 4 4 10
496454 4251511 20 27.902 0.28 258.12 11 14 27
496414 4249253 354 138.811 0.47 1325.48 19 20 28
497517 4251975 -2 16.944 0.24 183.48 16 21 30
496652 4250686 214 3.520 0.14 2.38 3 3 7
496672 4250687 214 885.633 0.88 2704.13 0 0 15
496544 4250691 245 1.645 0.11 2.23 11 11 11
497021 4250747 327 53.351 0.35 268.70 8 8 21
496813 4250465 331 5.928 0.16 25.32 7 7 20
496695 4250587 245 0.600 0.08 1.57 3 5 16
496431 4250638 283 20.671 0.25 248.28 2 2 35
496602 4250585 249 13.746 0.21 181.52 0 1 37
496886 4250221 279 2.566 0.13 13.46 10 12 22
496713 4250699 218 326.230 0.64 607.84 3 3 12
496008 4251747 4 5.662 0.16 53.05 13 19 29
496694 4250606 235 20.752 0.25 45.67 5 5 13
496862 4250810 277 20.091 0.25 31.72 19 16 11
496479 4250303 275 7.279 0.18 55.01 5 7 27
496642 4250385 344 9.948 0.20 79.65 4 4 28
496679 4250425 338 2.619 0.13 5.94 12 12 15
496927 4250712 315 3.580 0.14 5.68 19 17 12
496660 4250735 222 466.664 0.73 252.43 12 12 6
496680 4250629 220 53.214 0.35 938.42 0 0 41
496672 4250687 214 366.728 0.64 2160.48 0 0 22
496717 4250577 255 0.308 0.06 0.83 2 5 19
495837 4251014 37 1.022 0.09 5.21 19 29 20
496423 4250626 287 16.545 0.23 43.31 12 11 15
496740 4250567 264 21.248 0.26 34.63 11 10 12
496128 4250823 156 2.960 0.13 32.34 3 6 36
496671 4250691 214 130.275 0.46 18.40 2 2 3
496893 4250154 232 14.385 0.22 80.94 12 14 22
496638 4250659 214 0.641 0.08 0.53 7 7 8
496191 4250436 188 3.830 0.14 14.16 19 22 17
496778 4250554 277 10.511 0.20 16.73 13 12 12
496874 4251282 141 21.037 0.25 178.68 8 10 27
496731 4250627 242 11.649 0.21 54.67 2 2 20
496994 4249837 123 6.959 0.17 81.88 7 9 35
496939 4250986 246 31.696 0.29 201.72 7 8 23
496663 4250687 214 1.521 0.11 10.23 0 0 25
496527 4250490 304 18.886 0.24 40.23 14 12 14
497457 4251525 -1 447.879 0.71 8123.55 7 9 39
496805 4249927 130 70.602 0.38 729.32 9 10 29
496436 4250335 268 11.758 0.21 63.53 9 10 22
496987 4250733 328 3.311 0.14 16.08 6 7 22
496425 4250676 287 79.226 0.39 786.73 2 3 30
497801 4250457 94 227.084 0.57 1558.68 27 31 20
496669 4251086 203 153.313 0.49 634.84 13 14 18
496558 4249850 89 473.638 0.70 3125.54 19 22 21
496464 4250590 283 370.782 0.67 439.32 27 22 10
496671 4250692 214 4.253 0.14 5.09 0 0 9
496522 4250835 271 25.674 0.27 194.13 3 3 26
496633 4250660 214 78.001 0.40 214.03 2 2 15
496563 4250218 256 166.018 0.50 753.79 14 14 19
496555 4249227 402 6.740 0.17 34.82 47 45 16
496765 4250063 176 488.437 0.69 2475.80 18 19 19
496622 4250848 268 6.374 0.17 6.33 22 18 9
496668 4250688 214 55.612 0.35 392.81 0 0 24
496583 4250600 247 205.464 0.53 239.17 14 13 10
497351 4250087 173 167.568 0.51 1182.39 18 19 23
496254 4250036 87 20.619 0.25 190.47 10 12 28
496710 4250654 221 0.343 0.06 0.53 4 4 11
496618 4250667 214 8.358 0.18 10.66 6 6 10
496715 4249958 136 17.116 0.24 131.76 11 13 25
495938 4250441 80 117.390 0.44 1359.86 8 9 31
496367 4250504 298 263.663 0.59 1750.08 6 6 24
496031 4251270 22 2.049 0.11 14.68 12 17 25
496870 4250143 227 27.546 0.28 132.58 16 17 19
496666 4250693 214 23.716 0.26 3.06 6 7 2
496105 4251334 18 238.361 0.57 1510.40 21 27 19
496669 4250689 214 292.646 0.59 388.41 0 0 10
496703 4250738 231 19.709 0.25 60.49 2 2 16
497304 4250167 190 2062.483 1.17 16619.93 14 15 25
496769 4250663 255 49.213 0.33 246.26 2 2 21
496220 4250624 236 1.206 0.10 5.55 9 13 21
498099 4250640 118 206.736 0.54 2565.53 15 17 31
496890 4250191 258 2638.526 1.29 10647.00 19 19 17
496951 4250625 359 4.139 0.15 21.16 5 6 23
496782 4250303 308 17.318 0.24 196.91 3 4 34
497382 4251775 -1 14.928 0.22 123.17 20 27 24
496671 4250711 214 321.473 0.62 255.28 3 4 7
497182 4250192 214 2.276 0.12 15.04 10 14 25
496686 4250677 214 844.376 0.87 4781.28 0 0 21
496596 4250651 228 58.380 0.36 274.66 2 2 20
495711 4250971 30 83.704 0.40 537.79 24 31 19
496533 4250895 265 17.692 0.24 51.88 10 10 16
496427 4250540 328 50.511 0.34 116.77 15 13 14
496872 4250770 291 3.594 0.14 13.38 6 7 19
495879 4250328 54 5.042 0.16 37.78 13 17 25
496819 4250606 290 20.674 0.25 45.84 9 8 14
497423 4251222 79 19.214 0.25 205.77 9 12 31
496827 4250705 281 20.114 0.25 38.62 10 9 13
497057 4250003 163 6.934 0.17 35.62 19 23 20
496703 4250640 222 9.080 0.19 2.69 35 34 4
496454 4250569 295 55.724 0.35 314.71 5 5 22
497197 4250073 178 48.115 0.32 962.40 4 5 45
496954 4250945 248 12.394 0.22 92.43 5 6 26
495792 4249666 147 25.699 0.27 233.72 18 22 27
496585 4250704 232 12.240 0.21 81.78 1 1 24
496846 4251683 -1 5.683 0.17 48.82 12 17 27
496693 4250836 275 0.888 0.09 1.60 8 9 13
496695 4250764 245 84.965 0.40 38.50 23 19 6
496682 4250801 259 0.928 0.09 2.02 5 6 14
496722 4250700 225 14.016 0.22 26.94 3 3 12
496882 4251153 225 1812.145 1.11 13605.36 9 9 25
496704 4250574 253 28.421 0.27 182.68 2 2 24
496704 4250698 214 11.621 0.21 60.53 0 0 21
496608 4250438 333 20.800 0.25 191.17 3 3 30
496437 4250555 310 16.777 0.24 106.41 4 5 24
496581 4250758 238 37.937 0.31 58.81 9 9 11
496669 4250694 214 10.654 0.20 22.50 0 0 13
496072 4251275 24 155.855 0.49 1787.36 9 11 30
496681 4250682 214 255.735 0.57 36.22 16 20 2
496768 4250772 268 6.602 0.17 31.94 3 3 21
496607 4250574 252 14.024 0.22 21.44 11 10 11
496639 4250609 232 24.760 0.27 35.60 8 8 11
497678 4250753 124 8.368 0.19 52.29 20 25 22
496663 4250733 222 351.682 0.64 122.14 18 17 5
496681 4250470 300 25.877 0.27 34.22 21 17 11
496561 4250663 240 46.917 0.33 85.60 8 8 12
496689 4250759 240 10.423 0.20 22.40 4 4 13
495687 4250207 53 165.633 0.50 1543.93 16 19 26
496279 4250847 233 9.220 0.19 26.68 19 20 15
496855 4250956 257 2.705 0.13 4.45 28 26 11
496769 4250659 256 0.740 0.08 1.49 5 6 14
496676 4250729 217 3.340 0.14 0.89 24 25 4
497321 4250771 308 103.708 0.43 544.87 16 16 21
496293 4250672 287 0.740 0.08 4.10 4 8 25
496628 4250222 267 89.350 0.42 189.58 38 34 11
496993 4251850 -1 11.763 0.21 88.43 21 28 23
496524 4250478 327 1.380 0.10 6.46 5 6 22
496805 4250951 257 18.384 0.24 39.58 18 17 13
496804 4250918 253 1.099 0.09 1.73 19 22 11
496687 4250531 262 42.074 0.32 219.44 3 3 21
497225 4250365 257 1350.108 1.04 7090.54 17 17 20
496717 4250804 265 3.548 0.14 16.67 2 3 21
496660 4250772 244 175.482 0.51 798.69 2 2 19
496689 4250404 349 131.605 0.46 131.90 40 26 9
496645 4250690 214 15.338 0.23 6.46 8 9 5
496757 4250926 253 20.287 0.25 34.15 21 19 11
496476 4250602 278 7.608 0.18 21.29 9 9 16
496853 4250591 310 4.164 0.15 22.58 4 4 23
497177 4250083 182 7.624 0.18 84.96 6 8 34
496814 4251273 134 16.276 0.24 165.19 6 8 31
497039 4250438 350 8.264 0.19 31.32 13 13 19
496719 4250306 306 4.026 0.14 22.00 7 8 23
496632 4250710 214 48.325 0.33 260.23 1 1 21
496609 4250665 217 1.302 0.10 6.30 1 1 21
496473 4250730 273 2.316 0.12 14.57 2 3 25
496950 4251009 245 9.984 0.19 52.30 9 10 21
497249 4251542 23 3.653 0.14 30.04 12 18 27
497123 4250523 354 49.920 0.33 250.53 12 11 21
495711 4249834 82 197.548 0.53 1474.68 27 32 21
496590 4250188 242 19.460 0.25 90.88 14 14 20
496658 4250450 316 11.381 0.21 8.92 50 31 7
496672 4250739 223 2.920 0.13 4.94 3 4 11
496876 4249988 151 3.964 0.14 23.00 14 18 22
496519 4249790 96 110.448 0.44 1353.69 9 10 32
496892 4250363 331 13.311 0.22 49.22 13 12 18
496978 4250999 254 1033.289 0.93 9070.57 6 6 27
496942 4250477 371 1.562 0.11 2.31 25 21 12
496242 4250832 213 527.301 0.74 4304.23 7 7 26
496127 4251131 56 16.796 0.24 167.45 7 10 30
496515 4250954 244 51.046 0.34 365.97 5 5 25
497257 4250533 299 1.180 0.09 5.73 11 16 22
496693 4250523 268 13.560 0.22 14.46 21 17 9
497655 4250525 134 263.228 0.57 2682.99 13 14 28
496768 4250646 257 1.447 0.11 0.54 60 38 4
497320 4250115 179 38.346 0.31 215.03 21 24 20
496547 4251073 209 11.374 0.20 84.48 6 7 26
496500 4250762 261 0.357 0.06 1.36 2 6 22
498340 4251038 112 97.730 0.42 1223.11 17 20 31
496627 4250685 214 3.542 0.14 3.51 6 6 8
496294 4251385 25 51.005 0.33 325.88 18 23 20
496670 4250690 214 113.418 0.43 147.13 0 0 10
496662 4250693 214 20.136 0.25 41.59 0 0 13
496804 4250613 277 161.899 0.50 2046.50 1 1 34
495991 4250981 67 294.972 0.61 3052.01 9 11 28
496454 4250178 205 1.352 0.10 5.53 14 19 19
496748 4250652 241 27.079 0.27 96.25 3 3 17
495701 4249642 170 43.165 0.32 515.88 13 16 32
497073 4249811 123 15.919 0.23 139.64 12 15 27
497752 4252210 -1 32.803 0.29 311.71 28 36 24
496608 4250661 217 2.243 0.12 2.08 10 10 8
496184 4251139 74 0.990 0.09 4.83 13 22 20
496565 4250369 322 2.634 0.12 16.74 5 6 25
496538 4250770 253 37.181 0.31 83.64 9 8 14
496487 4251548 14 92.052 0.42 927.37 11 13 28
496670 4250689 214 30.033 0.28 18.44 0 0 6
496653 4250868 279 2.245 0.12 4.05 11 11 13
496676 4250717 214 3.599 0.14 4.35 3 3 9
496674 4250682 214 1.476 0.11 0.53 3 3 5
497493 4250894 204 3.154 0.13 41.14 4 7 41
496993 4251188 229 0.651 0.08 2.90 10 18 21
496671 4250690 214 341.234 0.64 456.07 0 0 10
497183 4250394 276 1969.741 1.12 12100.13 13 13 22
496768 4250976 255 371.822 0.66 1844.99 8 8 20
496674 4250692 214 699.244 0.80 1876.67 0 0 14
496803 4250885 261 18.245 0.25 25.83 23 21 10
