E N alt mass diam kinE incid eject flight
496947 4250662 341 0.805 0.08 1.26 16 17 13
495424 4252021 52 33.442 0.29 398.64 18 23 31
497334 4250309 212 5.822 0.16 36.78 13 16 23
496670 4250690 214 12.844 0.21 3.01 0 0 4
496648 4250665 214 8.177 0.19 2.16 19 22 4
496669 4250755 236 80.508 0.40 175.56 4 4 13
497035 4251055 266 1520.100 1.03 7213.94 15 14 19
495417 4252478 0 3.595 0.14 36.48 18 30 31
496131 4250513 176 7.009 0.17 42.60 11 13 23
496099 4251484 9 137.200 0.47 1296.89 14 17 26
496796 4250996 245 99.967 0.42 204.70 24 23 12
497066 4250070 180 7.870 0.18 72.97 8 10 30
496791 4250605 275 4045.703 1.47 39912.90 2 2 29
496735 4251187 159 65.558 0.37 223.89 23 26 14
496029 4250923 93 19.773 0.24 167.76 9 11 27
496751 4250363 339 73.704 0.38 164.79 19 16 14
496636 4250642 214 41.469 0.33 78.62 4 4 12
496525 4250874 272 103.500 0.43 382.02 8 8 18
496700 4250626 227 617.893 0.77 322.51 19 18 6
496709 4250765 249 1.374 0.10 3.83 3 4 16
496697 4250751 240 55.895 0.35 56.48 9 8 9
496422 4250538 328 422.928 0.69 2878.48 5 5 24
496253 4250677 257 11.000 0.20 73.07 7 8 25
496887 4250765 290 4.974 0.16 11.37 12 11 14
496455 4250911 248 5.595 0.16 33.43 5 6 24
496746 4250731 250 176.106 0.51 795.00 2 2 19
496287 4250616 273 9.048 0.20 57.86 6 7 24
496815 4250822 282 6.686 0.17 11.14 14 13 12
496728 4250717 235 0.194 0.05 0.06 31 25 4
496295 4249500 199 84.891 0.41 882.97 15 17 29
496780 4250520 299 188.692 0.53 634.12 7 7 17
496664 4250688 214 84.414 0.40 326.06 0 0 18
496709 4250569 257 222.287 0.56 363.07 10 9 12
497005 4250588 383 384.617 0.65 1803.48 9 8 21
496647 4250442 317 9.354 0.19 13.18 22 17 11
496775 4250791 278 398.110 0.67 427.38 17 14 10
497019 4250519 378 38.525 0.30 241.50 7 7 24
496753 4250587 264 11.208 0.20 37.21 4 5 17
496695 4250926 258 7.090 0.18 24.94 8 8 18
496735 4250698 232 846.422 0.87 594.56 13 12 7
496835 4250743 292 25.779 0.27 42.30 13 11 12
497196 4250342 262 0.523 0.07 3.46 4 12 30
496659 4250513 269 18.938 0.25 104.72 3 4 22
496666 4250674 214 8.886 0.19 7.30 2 2 8
496322 4250298 203 3.927 0.15 37.77 4 6 32
496666 4250691 214 1.944 0.11 14.56 0 0 27
496631 4250693 214 202.424 0.55 599.91 1 1 15
496658 4250698 214 202.255 0.54 51.40 8 9 4
496798 4250580 284 197.087 0.54 318.81 13 11 12
495801 4251434 15 243.968 0.58 2180.64 18 22 24
496937 4250476 370 104.686 0.42 458.84 9 8 20
497041 4250736 335 31.254 0.29 141.08 10 9 20
496511 4252158 -1 153.036 0.49 2382.84 11 14 36
496722 4250682 223 0.174 0.05 0.43 0 2 22
496667 4250688 214 2.185 0.12 0.17 6 11 1
495841 4249004 222 10.829 0.20 110.86 20 25 30
496614 4250653 218 894.060 0.85 1652.88 5 5 12
496500 4250738 262 4.446 0.15 44.69 1 2 33
496880 4250655 315 2149.914 1.18 5643.45 10 9 15
496670 4250692 214 3.102 0.13 0.61 1 2 3
496709 4250757 247 172.398 0.51 435.29 4 4 14
496952 4249820 118 1.142 0.10 6.91 14 21 24
496788 4249743 117 41.093 0.32 563.67 7 9 35
496552 4250722 243 75.774 0.38 202.32 6 6 15
496717 4250738 236 53.290 0.35 58.85 8 7 9
496669 4250688 214 5.226 0.16 21.38 0 0 18
496599 4249832 101 3.732 0.14 21.80 17 23 21
496709 4250679 217 31.194 0.29 91.82 1 1 15
496433 4250978 233 22.840 0.26 138.29 7 8 23
496457 4250434 321 33.267 0.29 140.31 9 9 19
497123 4250650 351 43.155 0.32 113.15 23 19 15
496696 4250656 214 6.458 0.17 23.02 1 1 17
496653 4250625 218 12.173 0.21 31.30 3 3 14
495943 4250746 92 694.157 0.82 4949.86 15 17 22
496362 4250806 258 206.977 0.55 296.81 42 37 8
496857 4251041 243 9.514 0.20 52.21 8 9 22
496463 4250484 344 13.209 0.22 16.50 30 22 11
496555 4250936 252 1.493 0.10 11.06 2 4 29
496671 4250690 214 450.037 0.69 44.53 3 4 2
496750 4250968 254 178.865 0.52 392.64 18 17 13
496740 4250435 332 6.960 0.17 17.17 12 11 15
496996 4250990 268 5.467 0.16 60.08 3 4 35
496668 4250683 214 0.204 0.05 0.60 0 0 25
496486 4250296 271 85.071 0.40 303.76 16 16 17
495565 4251766 8 134.217 0.47 1410.48 20 25 27
496666 4250684 214 25.293 0.27 14.20 1 1 6
496670 4250693 214 108.173 0.44 11.45 5 8 2
496521 4250691 255 85.415 0.40 925.30 1 1 31
496270 4251156 86 14.695 0.23 68.55 18 24 17
496263 4250365 199 23.904 0.26 115.07 14 15 19
496599 4250635 228 0.032 0.03 0.05 2 8 14
496024 4251197 27 217.272 0.54 1626.50 16 19 22
496090 4251157 44 95.754 0.41 752.41 13 15 24
496647 4250522 264 26.912 0.28 168.24 3 3 24
497617 4249743 163 55.488 0.35 392.01 28 32 21
496689 4250680 214 70.103 0.38 188.77 1 1 14
496861 4250897 262 11.119 0.20 103.08 3 3 30
496714 4250665 218 39.237 0.31 142.06 1 1 17
496639 4250638 216 0.112 0.04 0.20 2 4 13
496675 4250690 214 73.243 0.39 488.99 0 0 24
497055 4252416 -2 3178.465 1.33 50862.94 15 17 34
496864 4250798 281 3.001 0.13 9.24 8 9 17
496721 4250496 291 10119.555 1.99 14136.91 19 15 11
496437 4250194 207 13.797 0.22 103.47 8 9 26
496715 4250678 217 117.493 0.44 274.02 2 2 13
496503 4250202 236 2.889 0.13 19.80 7 9 26
496659 4250691 214 99.258 0.42 19.77 8 9 3
496672 4250690 214 25.127 0.26 89.92 0 0 17
496555 4251116 184 97.098 0.41 459.56 13 14 19
496669 4250690 214 19.379 0.25 3.18 0 0 3
497249 4250262 221 53.308 0.34 590.87 7 8 31
496693 4250296 300 0.052 0.03 0.05 2 23 19
495686 4249279 206 107.044 0.43 1371.98 16 19 32
496605 4250666 221 0.663 0.08 4.23 0 1 26
496144 4251219 36 54.083 0.34 390.45 14 17 23
496598 4250711 224 2.518 0.12 11.20 1 2 20
496627 4250867 275 143.451 0.47 1090.40 3 3 26
496946 4250722 317 1123.888 0.93 3025.85 13 11 15
496321 4250218 175 2.223 0.12 19.42 5 8 31
496669 4250689 214 37.009 0.31 2.39 0 1 1
496500 4250985 239 12.492 0.22 26.48 23 23 12
496665 4250709 214 0.906 0.09 0.32 8 9 5
495897 4250329 56 5.085 0.16 28.80 19 26 20
496687 4250699 214 4.660 0.15 2.91 4 4 7
496431 4250609 287 37.488 0.31 156.16 7 7 19
496415 4250149 179 50.679 0.35 278.50 14 16 20
496944 4250146 221 8.459 0.19 56.53 10 12 24
496680 4250660 214 679.373 0.82 416.77 7 7 6
496406 4250607 297 3.513 0.14 15.77 6 7 21
496722 4250859 283 625.856 0.79 5516.17 2 2 28
496809 4250761 286 0.974 0.09 0.86 19 17 9
495464 4250297 89 16.935 0.23 143.36 18 23 25
496790 4250123 210 0.340 0.06 2.11 3 12 31
496776 4250718 259 11.206 0.20 9.23 17 14 8
496468 4250590 282 1.854 0.11 2.19 22 21 10
496651 4250703 214 720.668 0.81 2275.06 1 1 16
496704 4250798 258 3.471 0.14 15.06 2 3 20
496649 4250753 232 9.799 0.20 38.21 2 2 18
496668 4250713 214 541.805 0.76 2989.18 0 0 21
495645 4250958 30 0.760 0.08 4.84 13 23 25
496694 4250670 214 242.729 0.56 90.64 12 13 5
497248 4251609 18 4.018 0.14 40.16 10 14 31
496577 4250521 273 47.653 0.33 224.83 5 5 20
496665 4250438 329 0.426 0.07 0.55 12 16 13
496582 4251030 241 36.842 0.31 137.98 12 12 17
496697 4250683 214 27.013 0.27 55.24 1 2 12
496693 4250658 214 65.560 0.37 111.01 3 3 11
496607 4250753 234 2.734 0.13 23.09 0 1 29
496674 4250570 253 3.340 0.14 8.74 5 5 15
496481 4250580 282 73.556 0.39 125.67 16 14 12
496657 4250673 214 539.404 0.73 2089.83 0 0 17
497455 4251393 3 6.218 0.17 49.70 15 21 25
496826 4250375 341 4.020 0.15 5.89 31 24 11
495844 4250217 49 109.619 0.44 898.60 16 19 24
496688 4250732 227 40.193 0.31 36.80 7 6 8
496535 4250551 269 7.740 0.19 11.54 16 15 11
496641 4250752 228 0.309 0.06 0.68 2 4 15
496513 4250579 270 35.359 0.30 50.12 18 15 11
496637 4250675 214 107.039 0.43 491.35 1 1 19
496546 4250831 265 85.810 0.40 67.06 38 29 7
496676 4250680 214 46.858 0.33 81.01 0 1 11
496655 4250692 214 414.235 0.67 281.54 3 3 7
496888 4251310 133 5.000 0.16 51.81 5 8 33
496692 4250636 219 149.346 0.50 232.06 5 5 11
494738 4250285 15 1026.724 0.92 17959.25 15 17 36
498087 4252314 -1 28.554 0.28 365.56 19 26 32
496694 4250701 214 212.421 0.55 117.82 7 7 6
496426 4250362 276 167.742 0.49 2078.12 4 4 33
496656 4250480 295 1.613 0.11 1.48 26 22 9
496789 4250643 269 13.737 0.21 72.58 2 3 22
496883 4250709 312 3634.951 1.36 7466.64 13 11 14
496165 4250758 191 12.334 0.21 98.75 7 8 27
497063 4250746 332 3.621 0.14 12.13 13 13 18
496671 4250692 214 2831.528 1.30 331.23 3 4 2
496660 4250768 240 293.172 0.60 4219.05 0 0 36
497081 4250962 290 27.364 0.28 129.13 13 13 20
496657 4250700 214 25.932 0.26 23.59 2 2 8
496389 4250989 220 917.556 0.89 5628.24 9 9 22
497440 4250327 186 6.255 0.17 39.12 15 19 23
497451 4250527 212 47.240 0.34 343.77 13 15 24
496442 4250920 248 0.583 0.08 3.38 3 7 26
497226 4250242 223 6.442 0.17 40.01 13 15 23
496669 4250690 214 6.517 0.17 0.35 2 10 1
496442 4251238 97 4.163 0.15 18.54 17 22 18
496704 4250706 216 199.105 0.54 83.65 13 14 5
496637 4250573 250 1027.305 0.92 1754.50 9 8 12
496185 4251088 90 96.872 0.42 1130.15 6 7 31
497043 4251243 202 40.271 0.31 487.78 6 7 33
496667 4250727 217 93.890 0.41 44.92 11 11 6
496809 4250711 277 7.418 0.18 16.61 7 7 14
496826 4250433 349 26.957 0.28 241.94 3 4 29
496724 4250669 223 34.845 0.30 54.87 5 5 11
496139 4250563 189 5.235 0.16 37.18 8 10 26
496741 4250553 267 1.798 0.11 6.35 4 5 18
496451 4250772 284 6.851 0.17 23.70 8 8 18
496679 4250683 214 228.079 0.57 441.14 0 0 12
496623 4250606 237 16.410 0.23 123.26 1 1 26
496802 4250961 259 298.377 0.60 384.23 49 42 7
496636 4250707 214 16.039 0.23 50.49 1 1 16
496242 4250578 246 94.580 0.42 788.32 6 7 27
496664 4250637 214 49.136 0.33 184.78 1 1 17
496875 4250263 305 5.004 0.16 35.87 6 8 27
496221 4250830 204 16.507 0.23 192.32 4 5 34
496536 4250513 287 1.658 0.11 4.13 9 10 15
496806 4250445 337 1.815 0.11 11.30 3 5 26
496465 4251900 15 8.781 0.19 57.00 27 37 20
496931 4250890 274 8.820 0.19 31.94 11 11 18
496778 4250635 261 1.714 0.11 12.01 1 2 27
496613 4250731 217 0.989 0.09 0.94 10 10 8
497205 4250244 227 1.737 0.11 7.61 18 22 19
496716 4250701 222 2.060 0.11 2.97 4 4 11
496375 4251050 180 35.709 0.30 111.62 22 25 14
496667 4250711 214 107.729 0.44 395.30 0 0 17
496921 4250822 281 0.145 0.05 0.19 3 13 20
496423 4251322 51 32.712 0.29 163.11 21 27 17
497013 4249876 128 60.522 0.36 469.94 15 17 24
496682 4250784 250 13.624 0.22 88.33 1 1 24
496718 4250521 275 16.753 0.23 42.93 8 8 15
496378 4250756 267 19.763 0.25 140.58 4 5 26
496732 4250804 270 7.210 0.18 17.60 6 6 15
495377 4250503 109 36.928 0.30 485.09 11 13 34
496805 4250626 276 4.545 0.15 13.39 6 6 16
496668 4250544 258 186.694 0.53 1406.61 2 2 25
496637 4250713 214 1.315 0.10 1.60 4 4 9
496690 4250692 214 41.281 0.32 188.65 0 0 19
497404 4250473 223 11.537 0.21 42.77 32 34 15
495882 4250771 67 2.503 0.12 20.56 9 13 28
496577 4250797 252 6.196 0.16 4.10 32 26 7
496923 4250813 283 24.750 0.26 136.17 6 6 22
497306 4250473 256 5.209 0.16 43.81 7 9 29
496685 4250658 214 20.768 0.25 142.77 0 0 24
496511 4250727 260 9.073 0.19 39.82 4 4 20
496522 4250781 257 0.741 0.08 2.21 5 7 17
496399 4250713 285 2.708 0.13 9.74 8 9 18
498863 4250589 0 474.203 0.72 9470.72 13 16 40
496670 4250693 214 10.122 0.20 23.97 0 0 14
496688 4250663 214 0.974 0.09 1.51 2 3 11
496793 4250699 267 2.937 0.13 12.72 3 3 20
496725 4250676 223 0.477 0.07 0.78 4 4 12
496711 4251202 146 4.528 0.15 31.59 7 10 25
496690 4250556 257 96.431 0.42 223.36 7 7 14
496625 4250677 214 5.182 0.16 10.35 3 3 12
496462 4250357 291 280.895 0.59 918.09 16 15 16
496548 4250736 249 53.309 0.35 48.55 19 17 8
496251 4250932 175 32.092 0.29 199.59 9 11 22
496481 4250937 245 203.218 0.54 719.93 12 11 17
496661 4250688 214 6.634 0.17 40.46 0 0 23
496842 4250789 288 9.648 0.19 107.85 1 2 34
496332 4250876 240 15.493 0.23 40.30 20 20 14
496743 4250720 244 45.716 0.33 24.26 20 16 6
496749 4250923 253 1.572 0.11 11.39 2 4 28
496515 4250425 343 122.934 0.46 239.84 20 16 13
496683 4250700 214 651.724 0.78 4541.18 0 0 24
496712 4250623 232 115.301 0.44 63.56 20 18 6
496679 4250681 214 4.764 0.15 9.01 0 0 12
497026 4251048 261 552.045 0.75 4200.02 8 8 25
495927 4249930 72 141.234 0.48 1151.00 18 21 24
497006 4252196 -2 11.543 0.21 148.97 11 16 35
496754 4250762 262 5.429 0.16 2.20 41 27 5
496462 4250594 282 97.114 0.43 218.86 13 12 14
498189 4250170 239 15.710 0.23 235.62 10 13 39
496722 4250728 235 1.177 0.10 7.05 1 1 24
496679 4250669 214 1894.067 1.12 2487.61 2 2 10
496784 4250969 260 42.095 0.32 89.18 19 18 13
496663 4250701 214 2.283 0.12 4.21 0 1 12
496758 4251265 127 44.173 0.33 243.83 14 16 20
496672 4250691 214 735.481 0.85 2445.43 0 0 16
496551 4250797 254 1.115 0.09 3.64 4 6 17
497642 4251145 65 414.907 0.68 4072.45 15 17 27
496388 4249826 93 25.184 0.27 203.05 14 17 25
497021 4250694 351 153.077 0.49 233.84 31 23 11
496735 4250705 235 5.651 0.16 5.65 9 8 9
496413 4250783 274 7.852 0.18 75.99 2 3 31
497359 4251353 50 41.235 0.32 475.79 9 12 31
495966 4251009 57 2.289 0.12 11.87 18 25 20
496679 4250686 214 35.236 0.30 18.47 2 3 6
497059 4251758 0 66.130 0.38 436.28 29 38 18
496675 4250710 214 137.648 0.47 31.83 14 16 3
496883 4250265 306 6.073 0.17 71.87 3 4 36
495755 4250117 55 75.932 0.38 1039.02 9 11 34
496666 4250691 214 0.065 0.04 0.00 9 20 1
496693 4250694 213 85.479 0.41 511.34 0 0 22
496670 4250674 214 2219.790 1.20 309.95 18 22 2
496672 4250686 214 189.965 0.53 31.34 3 4 3
496635 4250679 214 11.181 0.20 29.57 1 1 14
496476 4250864 267 2.505 0.13 5.02 15 16 13
496827 4250780 291 1.529 0.11 3.42 8 9 15
496791 4250947 255 45.186 0.33 82.77 22 20 12
496474 4250567 288 228.086 0.56 467.48 15 13 13
496768 4250618 259 83.781 0.40 67.79 20 16 8
496439 4251022 218 18.916 0.24 124.33 7 8 24
497261 4250813 314 0.971 0.09 8.12 3 8 34
497009 4249613 155 255.882 0.58 1844.47 23 25 22
496473 4250447 335 55.162 0.35 309.70 6 6 23
496521 4251178 144 2.074 0.12 20.06 3 6 34
494309 4249279 -1 495.642 0.72 9118.57 20 23 37
496662 4250729 217 0.861 0.09 4.10 0 1 21
496685 4250669 214 2.273 0.12 3.15 2 2 10
496670 4250693 214 0.111 0.04 0.05 0 1 6
496797 4250530 298 870.305 0.86 1159.34 20 16 11
497222 4250061 176 1.480 0.10 6.82 21 27 19
496692 4250720 216 89.269 0.42 530.24 0 0 22
497031 4250506 375 202.817 0.53 1735.89 5 5 28
496681 4250727 218 1.054 0.09 0.48 12 12 5
496666 4250694 214 26.831 0.27 7.54 2 2 4
496684 4250689 214 19.750 0.25 31.20 1 1 11
496680 4250730 218 0.362 0.06 1.69 0 1 23
497382 4250325 202 155.753 0.49 1228.03 13 14 25
496899 4250662 326 50.450 0.33 280.64 5 5 22
497062 4250626 367 56.547 0.35 203.58 13 12 18
496879 4250751 294 15.232 0.22 62.51 6 6 19
496651 4250830 264 11.916 0.21 7.40 33 25 7
496842 4250773 293 82.682 0.40 88.48 23 18 10
496634 4250661 214 0.194 0.05 0.36 2 3 13
496780 4250953 257 123.146 0.45 373.42 12 12 16
496575 4252863 32 3.376 0.14 38.92 14 24 36
496622 4250673 214 0.403 0.07 0.30 9 9 7
496627 4250716 214 33.557 0.30 34.11 7 7 9
496644 4250671 214 16.268 0.24 56.52 1 1 17
497937 4251262 -1 124.127 0.46 999.07 28 35 21
496504 4250167 213 105.065 0.43 371.67 23 24 15
497649 4250216 131 6.080 0.17 52.05 12 17 28
496657 4250691 214 2070.994 1.18 231.91 19 26 2
496953 4250519 383 993.936 0.92 4577.25 9 8 21
496672 4250685 214 217.676 0.55 100.88 1 1 6
496492 4250407 326 243.140 0.57 819.75 12 11 17
496723 4250596 249 15.237 0.23 80.62 2 2 21
496721 4250585 255 85.719 0.41 39.89 39 28 6
496683 4250666 214 1069.876 0.94 498.77 8 9 5
496571 4250938 255 3.641 0.14 12.32 9 10 17
497947 4248960 327 8.146 0.19 65.81 32 39 24
496661 4250690 214 24.127 0.27 5.09 6 6 3
497641 4250427 134 38.724 0.31 281.44 18 21 23
496659 4250682 214 8.767 0.19 40.12 0 0 19
496670 4250797 252 34.371 0.30 38.50 12 11 10
497167 4250516 336 89.498 0.40 452.88 13 12 21
496647 4250694 214 67.621 0.37 283.96 0 0 18
496301 4250273 188 2.661 0.13 16.15 9 12 24
496704 4250570 256 134.355 0.47 361.84 6 5 15
496223 4249640 143 70.052 0.39 658.23 15 18 27
496647 4250781 246 338.346 0.64 205.52 21 17 7
496533 4250428 344 106.487 0.44 126.62 33 23 10
496668 4250677 214 187.985 0.51 37.61 9 10 3
496607 4250632 228 0.838 0.09 4.99 1 2 25
496673 4250681 214 14.357 0.22 2.14 9 12 3
496662 4250707 214 255.981 0.58 587.92 1 1 13
496980 4250918 254 515.501 0.72 1006.61 32 29 11
496651 4250713 214 2.885 0.13 9.95 1 1 17
496755 4250628 252 23.082 0.26 13.89 24 19 7
496483 4249958 99 8.129 0.18 72.10 9 12 28
496713 4250752 247 85.755 0.40 456.98 1 1 21
497170 4251540 37 105.189 0.44 940.78 15 18 26
496766 4251047 218 8.048 0.19 61.08 5 6 27
497006 4251644 0 96.498 0.42 1053.50 12 14 29
496588 4250722 233 0.616 0.08 1.65 3 4 16
496473 4250660 273 49.941 0.33 478.95 2 2 30
496478 4250001 117 9.405 0.19 85.13 8 11 29
496627 4250683 214 0.122 0.04 0.25 1 3 14
496578 4250654 234 1613.551 1.06 3493.22 6 6 13
496484 4250634 271 27.879 0.28 50.72 14 12 12
496698 4250685 214 301.604 0.61 453.41 2 2 11
496541 4250667 246 57.550 0.36 66.59 15 14 10
496376 4250579 313 12.805 0.22 110.11 3 4 29
496122 4251043 86 15.819 0.23 118.76 10 13 25
496699 4250658 216 189.555 0.53 230.97 4 5 9
496759 4250619 259 0.158 0.05 0.27 1 5 20
496685 4250976 245 0.206 0.05 0.31 0 8 28
496290 4250331 201 75.742 0.39 777.98 6 6 30
496782 4250358 334 0.388 0.07 0.37 23 28 11
496729 4250862 281 10.203 0.20 46.57 4 5 20
496116 4250292 114 6.136 0.17 34.03 15 19 21
496963 4249812 119 20.503 0.25 196.84 11 13 29
496680 4250569 254 4.234 0.15 25.31 2 2 24
496751 4250368 339 21.079 0.25 148.75 5 5 26
496668 4250689 214 1.268 0.10 7.31 0 0 23
496668 4250691 214 30.853 0.28 17.94 0 0 6
496115 4250295 114 183.444 0.52 1778.89 9 10 28
496102 4250665 175 19.567 0.24 121.72 11 13 22
496644 4250688 214 174.850 0.50 189.20 3 3 9
496670 4250690 214 2.638 0.13 0.14 1 6 1
497357 4252174 -1 8.068 0.19 94.94 13 19 34
496667 4250689 214 0.264 0.06 0.02 5 9 1
496584 4250820 256 219.712 0.56 297.19 15 14 10
497719 4250120 125 61.970 0.37 545.16 17 21 26
497176 4250881 293 171.933 0.50 826.62 15 14 20
496662 4250683 214 25.643 0.27 8.52 4 4 5
496555 4250246 267 2.854 0.13 11.71 12 14 19
496639 4250577 249 3.402 0.14 3.02 17 15 8
496705 4250421 340 77.285 0.39 273.24 9 8 18
496910 4250483 370 3.382 0.14 10.11 11 11 17
496644 4250651 213 27.328 0.28 162.99 0 1 22
496677 4250695 214 1022.267 0.92 579.82 2 2 6
496661 4250687 214 0.186 0.05 0.03 10 13 2
496667 4250671 214 15.367 0.23 2.68 17 20 3
496652 4250697 214 10.307 0.20 1.92 16 19 3
496382 4250299 231 167.219 0.50 1865.20 5 5 31
496225 4252483 0 1146.046 0.95 11635.90 32 38 22
496583 4250282 286 2.734 0.13 9.72 13 14 18
496591 4250861 275 1368.756 1.01 1363.26 26 21 9
496679 4250695 214 266.076 0.60 230.22 1 1 8
496301 4250737 284 7.919 0.19 45.52 7 8 23
497285 4250426 252 11.391 0.20 63.83 14 16 22
497176 4251444 84 25.678 0.27 260.14 10 13 29
498282 4248086 377 1573.772 1.05 21128.78 41 41 26
496473 4250836 278 3.614 0.14 9.82 10 11 16
496498 4250714 264 26.761 0.27 151.11 3 3 22
496669 4250690 214 2.752 0.13 0.29 0 0 2
496624 4250568 254 32.704 0.30 19.35 32 25 6
496196 4251259 36 84.982 0.40 584.25 15 19 22
496639 4250686 214 134.013 0.46 166.61 3 3 10
497272 4250314 230 45.927 0.32 409.94 9 10 28
496757 4250827 282 4.044 0.15 3.40 24 19 9
495854 4251674 7 92.290 0.41 1390.55 10 12 36
496662 4250688 214 126.777 0.45 19.15 8 9 3
496685 4250764 243 2.792 0.13 1.82 15 13 7
496671 4250689 214 38.085 0.31 2.50 5 11 1
496139 4250737 187 17.138 0.23 52.62 27 30 14
497202 4250881 300 168.319 0.51 913.42 13 13 21
496373 4250139 154 42.631 0.32 275.37 12 14 22
496679 4250565 254 136.675 0.48 491.02 4 4 17
497047 4251460 86 33.558 0.29 305.64 11 14 27
496560 4250960 249 9.947 0.20 24.53 15 15 14
496696 4250685 214 0.893 0.09 1.99 1 1 13
496701 4250673 214 16.002 0.23 10.46 7 8 7
496960 4250390 355 11.259 0.21 86.22 5 6 27
498533 4249080 358 99.728 0.42 1579.92 18 20 37
496818 4250643 283 8.206 0.18 11.92 13 11 11
496567 4250811 258 31.669 0.29 50.33 13 12 11
496316 4250800 272 80.122 0.39 364.58 10 10 20
496235 4250299 160 0.132 0.05 0.17 6 34 19
496669 4250694 214 28.307 0.28 2.39 9 15 2
497308 4250282 216 34.852 0.30 172.29 21 23 19
496238 4250475 224 34.347 0.30 269.90 7 8 26
497031 4250806 297 116.860 0.45 490.87 11 11 19
496679 4250825 269 0.191 0.05 0.22 7 11 12
496266 4250596 260 24.178 0.27 150.18 8 8 23
496698 4250657 216 2.084 0.12 4.98 2 2 14
496761 4250635 253 39.176 0.31 36.42 15 13 9
496413 4250578 305 112.750 0.44 294.12 14 12 15
496572 4250942 252 4.126 0.14 28.37 4 5 26
497114 4250988 282 78.934 0.39 312.22 18 17 18
496811 4250469 331 133.130 0.46 466.85 9 8 18
496758 4250695 245 10.878 0.20 21.81 5 5 13
496557 4250451 327 10.347 0.20 39.99 8 8 19
496669 4250670 214 52.383 0.34 40.06 3 3 7
496275 4250396 214 4.671 0.15 24.32 11 12 21
497370 4251603 0 142.480 0.47 1417.21 16 19 27
497020 4250912 265 32.046 0.29 89.34 20 20 15
494350 4250020 -1 26.501 0.27 312.03 26 35 28
496640 4250820 260 2.998 0.13 14.36 3 3 21
496868 4250263 302 18.191 0.24 63.75 17 16 17
497120 4249843 130 86.397 0.40 480.47 27 31 18
496723 4251255 118 103.662 0.43 1255.65 5 6 32
496773 4250525 290 127.898 0.47 555.50 5 5 19
496572 4250612 245 2.249 0.12 6.48 5 5 16
496740 4250679 236 20.679 0.24 22.49 8 8 9
495744 4250770 36 63.035 0.36 902.02 7 9 35
496668 4250690 214 7.620 0.18 18.93 0 0 14
496646 4250731 214 35.733 0.30 52.84 4 4 10
496171 4250943 139 12.419 0.21 140.01 5 6 33
496673 4250692 214 0.192 0.05 0.04 2 2 4
496616 4250560 257 11.443 0.21 6.00 54 38 5
497615 4251808 -2 44.656 0.33 466.65 18 23 28
496841 4250595 304 4.625 0.15 6.37 17 14 11
496669 4250689 214 42.980 0.32 2.57 1 4 1
496624 4250779 241 94.907 0.41 127.76 10 9 10
497491 4248600 323 19.519 0.25 217.42 22 27 31
495943 4250114 56 1.270 0.10 8.90 12 18 26
498053 4249931 309 127.454 0.46 1416.53 18 19 30
496683 4250682 214 476.832 0.70 673.16 1 1 10
497271 4250839 313 8.224 0.18 45.49 13 13 22
496666 4250780 244 27.147 0.28 50.84 6 6 12
496540 4250723 247 12.456 0.20 17.75 12 11 11
496601 4250351 323 2.023 0.12 10.00 6 8 22
496661 4250688 214 11.522 0.21 6.80 2 2 6
496174 4250556 204 119.281 0.46 640.35 13 13 20
496842 4250908 255 79.207 0.39 128.48 25 23 11
496504 4250411 334 0.434 0.07 1.10 8 14 17
496777 4249579 174 2.403 0.12 15.37 18 24 24
496668 4250693 214 232.615 0.55 25.02 5 7 2
496649 4250717 214 34.581 0.30 37.14 4 4 9
497917 4252294 -1 67.116 0.37 961.81 17 21 34
496702 4250578 253 47.762 0.33 709.21 0 1 38
496427 4250944 240 137.114 0.47 306.23 23 22 12
496806 4252109 -1 13.023 0.22 103.75 23 32 23
496722 4250667 223 3.312 0.14 2.21 12 11 7
